Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
674,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",159.277,2005-11-16,en,7.817,18964,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schoolsâ€”the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named."
12444,Harry Potter and the Deathly Hallows: Part 1,"['Adventure', 'Fantasy']",135.083,2010-10-06,en,7.768,17497,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
856,Who Framed Roger Rabbit,"['Fantasy', 'Animation', 'Comedy', 'Crime']",26.457,1988-06-21,en,7.515,5095,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect."
38757,Tangled,"['Animation', 'Family']",109.776,2010-11-24,en,7.595,10350,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
10669,Deliverance,"['Drama', 'Adventure', 'Thriller']",15.001,1972-08-18,en,7.32,1374,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country."
82690,Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",56.828,2012-11-01,en,7.325,11382,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started."
301528,Toy Story 4,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",76.955,2019-06-19,en,7.525,8918,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy."
134,"O Brother, Where Art Thou?","['Adventure', 'Comedy', 'Crime']",25.615,2000-08-30,en,7.325,3692,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
488,The African Queen,"['Adventure', 'Romance']",8.662,1952-01-07,en,7.369,824,"At the start of the First World War, in the middle of Africaâ€™s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship."
11621,Kurenai no buta,"['Family', 'Comedy', 'Animation', 'Adventure']",22.399,1992-07-18,ja,7.785,2843,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina."
9662,Les triplettes de Belleville,"['Animation', 'Comedy', 'Drama']",11.68,2003-06-11,fr,7.37,824,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sistersâ€”an aged song-and-dance team from the days of Fred Astaireâ€”to rescue him."
578489,Le Petit Prince,[],0.84,2002-10-01,fr,8.0,1,"The musical was written by Richard Cocciante in co-authority with Elisabeth Anais on the famous book by Antoine de Saint-Exupery. This book of amazing humanity, written by the French author, is translated into 200 languages and dialects all over the world and is being sold annually in quantities of 1 million copies. The premiere of the musical was held in Paris in October 1, 2002. Ambitious project was carried out by the first-class artistic team, expects their performance to be able to win no less glory than the famous Â«Notre Dame de ParisÂ». The pilot was played by Daniel Lavoie (Daniel was playing this role since October 2002 until April 2003 at the Casino de Paris). For the role of Little Prince producers invited 13-year-old debutant from Lyon"
1653,Diarios de motocicleta,['Drama'],13.851,2004-02-06,es,7.421,1141,"Based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he and best friend Alberto Granado had while crossing South America by motorcycle in the early 1950s."
14069,Toki o kakeru shÃ´jo,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",21.214,2006-07-15,ja,7.784,1800,"When 17-year-old Makoto Konno gains the ability to, quite literally, ""leap"" backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends."
671,Harry Potter and the Sorcerer's Stone,"['Adventure', 'Fantasy']",175.062,2001-11-16,en,7.916,24963,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizardâ€”with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deathsâ€”and about the villain who's to blame."
447277,The Little Mermaid,"['Adventure', 'Family', 'Fantasy', 'Romance']",908.322,2023-05-18,en,6.27,848,"The youngest of King Tritonâ€™s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life â€“ and her fatherâ€™s crown â€“ in jeopardy."
2270,Stardust,"['Adventure', 'Fantasy', 'Romance', 'Family']",33.733,2007-08-09,en,7.252,3677,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity."
463257,The Peanut Butter Falcon,"['Adventure', 'Comedy', 'Drama']",18.13,2019-08-09,en,7.409,1182,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where heâ€™s lived for the past two and a half years.
10674,Mulan,"['Animation', 'Family', 'Adventure']",100.0,1998-06-18,en,7.915,8757,"To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process."
501929,The Mitchells vs the Machines,"['Animation', 'Adventure', 'Comedy']",37.914,2021-04-22,en,7.948,2494,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
20352,Despicable Me,"['Family', 'Animation', 'Comedy', 'Crime']",63.676,2010-07-08,en,7.225,13998,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care."
12429,Gake no ue no Ponyo,"['Animation', 'Fantasy', 'Family']",64.241,2008-07-19,ja,7.741,3676,"When Sosuke, a young boy who lives on a clifftop overlooking the sea, rescues a stranded goldfish named Ponyo, he discovers more than he bargained for. Ponyo is a curious, energetic young creature who yearns to be human, but even as she causes chaos around the house, her father, a powerful sorcerer, schemes to return Ponyo to the sea."
9325,The Jungle Book,"['Family', 'Animation', 'Adventure']",58.169,1967-10-18,en,7.276,5714,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship."
20312,Interstate 60: Episodes of the Road,"['Adventure', 'Comedy', 'Fantasy']",19.594,2002-04-13,en,7.379,572,An aspiring painter meets various characters and learns valuable lessons while traveling across America.
11943,Jeremiah Johnson,"['Adventure', 'Western', 'History']",29.85,1972-09-10,en,7.316,513,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-to-one combat on the early frontier.
11589,Kelly's Heroes,"['Adventure', 'Comedy', 'War']",19.872,1970-06-22,en,7.368,612,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.
408,Snow White and the Seven Dwarfs,"['Fantasy', 'Animation', 'Family']",77.732,1937-12-21,en,7.1,6724,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
11837,Watership Down,"['Adventure', 'Animation', 'Drama']",9.488,1978-10-14,en,7.2,543,"When the warren belonging to a community of rabbits is threatened, a brave group led by Fiver, Bigwig, Blackberry and Hazel leave their homeland in a search of a safe new haven."
36040,Walkabout,"['Adventure', 'Drama']",14.85,1971-07-01,en,7.4,336,"Under the pretense of having a picnic, a geologist takes his teenage daughter and 6-year-old son into the Australian outback and attempts to shoot them. When he fails, he turns the gun on himself, and the two city-bred children must contend with harsh wilderness alone. They are saved by a chance encounter with an Aborigine boy who shows them how to survive, and in the process underscores the disharmony between nature and modern life."
11176,The Muppet Movie,"['Comedy', 'Adventure', 'Music', 'Family']",11.941,1979-06-22,en,7.138,508,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!
2756,The Abyss,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",24.083,1989-08-09,en,7.328,2529,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it."
135540,Lo imposible,['Comedy'],1.646,1958-09-01,es,5.5,4,"Tired of the hardship imposed by his modest salary, Don Sabino selling their meager belongings and convinces his sons to join him in the adventure of know other cities, other people and another way of living."
1541,Thelma & Louise,"['Drama', 'Thriller', 'Crime', 'Adventure']",24.53,1991-05-24,en,7.571,2966,"Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times."
1878,Fear and Loathing in Las Vegas,"['Adventure', 'Drama', 'Comedy']",25.231,1998-05-22,en,7.221,4154,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge."
425,Ice Age,"['Animation', 'Comedy', 'Family', 'Adventure']",109.999,2002-03-10,en,7.345,12098,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters â€“ Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth â€“ find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims."
44826,Hugo,"['Adventure', 'Drama', 'Family']",20.803,2011-11-22,en,7.175,6660,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home."
11886,Robin Hood,"['Animation', 'Family']",27.353,1973-11-08,en,7.284,3963,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men."
830,Forbidden Planet,['Science Fiction'],20.072,1956-03-23,en,7.3,792,"Starship C57D travels to planet Altair 4 in search of the crew of spaceship ""Bellerophon,"" a scientific expedition that has been missing for 20 years, only to find themselves unwelcome by the expedition's lone survivor and warned of destruction by an invisible force if they don't turn back immediately."
11704,The Secret of NIMH,"['Family', 'Animation', 'Fantasy', 'Adventure']",16.94,1982-06-17,en,7.446,698,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground."
175,Le grand bleu,"['Adventure', 'Drama', 'Romance']",25.012,1988-05-10,fr,7.457,1278,"Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men.  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana, a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea."
2135,The Time Machine,"['Science Fiction', 'Adventure', 'Action']",24.017,2002-03-04,en,6.207,2008,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races."
533,The Curse of the Were-Rabbit,"['Adventure', 'Animation', 'Comedy', 'Family']",28.392,2005-09-04,en,7.027,2375,"Cheese-loving eccentric Wallace and his cunning canine pal, Gromit, investigate a mystery in Nick Park's animated adventure, in which the lovable inventor and his intrepid pup run a business ridding the town of garden pests. Using only humane methods that turn their home into a halfway house for evicted vermin, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual veggie-growing contest."
922,Dead Man,"['Drama', 'Fantasy', 'Western']",8.577,1995-12-23,en,7.296,1367,A fatally wounded white man is found by an outcast Native American who prepares him for the afterlife.
11040,Little Big Man,"['Adventure', 'Western', 'Comedy', 'Drama']",10.953,1970-12-14,en,7.57,533,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer."
532639,Pinocchio,"['Fantasy', 'Adventure', 'Family']",62.082,2022-09-07,en,6.452,1384,A wooden puppet embarks on a thrilling adventure to become a real boy.
250480,The Many Adventures of Winnie the Pooh,"['Animation', 'Family']",23.258,1977-03-11,en,7.3,891,"Whether weâ€™re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures."
21191,Sin nombre,"['Drama', 'Action', 'Thriller', 'Crime']",21.587,2009-03-20,es,7.6,595,"Sayra, a Honduran teen, hungers for a better life. Her chance for one comes when she is reunited with her long-estranged father, who intends to emigrate to Mexico and then enter the United States. Sayra's life collides with a pair of Mexican gangmembers who have boarded the same American-bound train."
26963,The Secret of Kells,"['Animation', 'Family', 'Fantasy']",13.865,2009-02-09,en,7.422,589,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?"
65215,Stewie Griffin: The Untold Story,"['Action', 'Adventure', 'Animation', 'Comedy']",10.32,2005-07-23,en,7.0,339,"The major sub-plot circles around the youngest Griffin, Stewie, who has a near-death experience at a pool when a lifeguard chair falls on him, but he survives. After having a vision of being in Hell, he decides to change his ways, but this doesn't last long. While watching television, he and Brian spot a man that looks like Stewie. Brian is convinced that he is Stewie's real father, until Stewie learns that the man is actually himself as an adult, taking a vacation from his own time period. Baby Stewie visits thirty years later to discover that his adult self, going by the name Stu, is a single blue-collar middle-aged virgin working at a Circuit City-type store. Meanwhile, Peter and Lois are trying to teach their two older kids, Meg and Chris, to date. In the future, Chris, who hasn't changed much, is working as a cop and is married to a foul-mouthed hustler named Vanessa. Meg is now called Ron, since she had a sex-change after college. Written by pepperann210"
438695,Sing 2,"['Animation', 'Family']",183.39,2021-12-01,en,7.936,3787,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage."
672,Harry Potter and the Chamber of Secrets,"['Adventure', 'Fantasy']",169.544,2002-11-13,en,7.724,20045,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermioneâ€™s magical abilities and courage."
89995,Frozen(I),"['Science Fiction', 'Horror']",2.848,1966-10-15,en,5.0,26,A crazed scientist keeps the heads of Nazi war criminals alive until he can find appropriate bodies on which to attach them so he can revive the Third Reich.
508943,Luca,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",107.513,2021-06-17,en,7.875,7408,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the waterâ€™s surface.
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",92.399,2014-12-10,en,7.312,13089,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."
926,Galaxy Quest,"['Comedy', 'Science Fiction', 'Adventure']",15.096,1999-12-25,en,7.1,1942,"For four years, the courageous crew of the NSEA protector - ""Commander Peter Quincy Taggart"" (Tim Allen), ""Lt. Tawny Madison (Sigourney Weaver) and ""Dr.Lazarus"" (Alan Rickman) - set off on a thrilling and often dangerous mission in space...and then their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director and no clue, the actors must turn in the performances of their lives."
11688,The Emperor's New Groove,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",95.834,2000-12-15,en,7.548,5977,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership."
196,Back to the Future Part III,"['Adventure', 'Comedy', 'Science Fiction']",21.512,1990-05-25,en,7.5,9499,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen."
11416,The Mission,"['Adventure', 'Drama', 'Action', 'History']",20.138,1986-09-29,en,7.401,1230,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors."
12144,The Land Before Time,"['Family', 'Animation', 'Adventure']",18.054,1988-11-18,en,7.117,2305,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive."
17529,True Grit,['Western'],21.383,1969-06-11,en,7.419,664,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done."
258230,A Monster Calls,"['Drama', 'Fantasy']",24.183,2016-10-07,en,7.263,3071,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.
7350,The Bucket List,"['Drama', 'Comedy']",15.619,2007-12-15,en,7.174,3398,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor."
522518,A Dog's Journey,"['Family', 'Adventure', 'Drama']",41.886,2019-05-03,en,8.026,1319,A dog finds the meaning of his own existence through the lives of the humans he meets.
11646,Gallipoli,"['War', 'Drama', 'Adventure', 'History']",7.863,1981-08-13,en,7.08,407,"As World War I rages, brave and youthful Australians Archy and Frankâ€”both agile runnersâ€”become friends and enlist in the Australian and New Zealand Army Corps together. They later find themselves part of the Dardanelles Campaign on the Gallipoli peninsula, a brutal eight-month conflict which pit the British and their allies against the Ottoman Empire and left over 500,000 men dead."
546,Transamerica,['Drama'],8.75,2005-12-23,en,7.1,404,Bree is about to get a sex reassignment surgery that will finally allow her to actually be what sheâ€™s already been in her mind for a long time: a transitioned woman. Yet before this happens she suddenly runs into her son who ends up coming for the trip across the United States.
12105,Yellow Submarine,"['Music', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",10.398,1968-07-17,en,7.12,438,"The wicked Blue Meanies take over Pepperland, eliminating all color and music. As the only survivor, the Lord Admiral escapes in the yellow submarine and journeys to Liverpool to enlist the help of the Beatles."
30691,Yahsi Bati,"['Comedy', 'Western', 'Adventure']",4.462,2009-12-31,tr,6.841,160,Two Ottoman government officials travel to USA in 19th Century in order to give gift to President from Sultan of Ottoman.
11153,National Lampoon's Vacation,"['Comedy', 'Adventure']",59.2,1983-07-28,en,7.098,1332,"Clark Griswold is on a quest to take his family to the Walley World theme park for a vacation, but things don't go exactly as planned."
13597,Labyrinth,"['Adventure', 'Family', 'Fantasy']",18.213,1986-06-27,en,7.263,2119,"When teen Sarah is forced to babysit Toby, her baby stepbrother, she summons Jareth the Goblin King to take him away. When he is actually kidnapped, Sarah is given just thirteen hours to solve a labyrinth and rescue him."
11970,Hercules,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']",83.58,1997-06-20,en,7.502,6688,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!"
337404,Cruella,"['Comedy', 'Crime']",112.333,2021-05-26,en,8.065,8311,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estellaâ€™s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella."
11544,Lilo & Stitch,"['Animation', 'Family']",62.507,2002-06-21,en,7.508,5538,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and Ê»ohana, the Hawaiian tradition of family."
34584,The NeverEnding Story,"['Adventure', 'Fantasy', 'Family', 'Drama']",36.603,1984-04-05,en,7.19,3630,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing."
212778,Chef,['Comedy'],16.191,2014-05-08,en,7.118,2943,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love."
116745,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",28.84,2013-12-18,en,7.169,6989,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.
11527,Excalibur,"['Adventure', 'Fantasy']",19.643,1981-04-10,en,7.0,854,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death."
809,Shrek 2,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",112.355,2004-05-19,en,7.24,11126,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage."
37135,Tarzan,"['Family', 'Adventure', 'Animation', 'Drama']",79.49,1999-06-18,en,7.4,6127,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to..."
1832,Dogma,"['Fantasy', 'Comedy', 'Adventure']",15.405,1999-11-12,en,6.907,2231,"The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind."
127380,Finding Dory,"['Adventure', 'Animation', 'Comedy', 'Family']",39.526,2016-06-16,en,7.042,11288,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?
624,Easy Rider,"['Adventure', 'Drama']",17.505,1969-06-26,en,7.081,1751,A cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices.
116149,Paddington,"['Comedy', 'Adventure', 'Family']",19.687,2014-11-24,en,7.057,3266,"A young Peruvian bear travels to London in search of a new home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family."
12092,Alice in Wonderland,"['Animation', 'Family', 'Fantasy', 'Adventure']",60.898,1951-07-28,en,7.19,5360,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!"
93456,Despicable Me 2,"['Animation', 'Comedy', 'Family']",60.12,2013-06-26,en,6.916,10401,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.
570352,The Nightingale(I),"['Drama', 'Mystery']",8.971,2018-12-23,en,6.3,115,"England, December 1926. Although her personal life is in tatters, the famous writer Agatha Christie decides to leave everything behind to help unravel an unsolved murder committed on a train six years ago, unable to imagine the disproportionate consequences that such a selfless act will cause."
10601,Peter Pan,"['Adventure', 'Fantasy', 'Family']",36.519,2003-12-18,en,7.183,2417,"In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland."
10150,The Last Unicorn,"['Fantasy', 'Animation', 'Family', 'Adventure']",10.796,1982-11-19,en,7.153,411,"From a riddle-speaking butterfly, a unicorn learns that she is supposedly the last of her kind, all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick, a second-rate magician, and Molly Grue, a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home, all the way to the castle of King Haggard."
